FUNCTION00,STREET_N01,Segment_Di,Lanes,Median,Park,Shoulder,Bikelane,PedCrossin,Length,Index,Dir_drive,Distance_to_school,Distance_to_senior,Number of DFS,Site_ID,Location_D,Direction,Speed_Limi,Ward,Neighbourh,Neighbou_1,Latitude,Longitude,Interventi,Enforcemen,(10)Observed crash frequency in before period,(19)Predicted average crash frequency in before period,(19)Original Predicted average crash frequency in before period,(13)Observed crash frequency in after period,(25)Predicted average crash frequency in after period,(25)Original Predicted average crash frequency in after period,(20)Overdispersion parameter k,(21)Weighted adjustment w,(22)Expected average crash frequency in before period,(26)Adjustment factor r,(27)Expected average crash frequency in after period without treatment,(28)Odds ratio,(29)Safety effectiveness(%),Step 8:(13) sum of observed after,Step 8:(27) sum of expected after,Step 8:OR*,(30)Variance Term,(30) Sum of Variance,Step 9:OR,Step 10: Safety Effectiveness,Step 11:Var(OR),Step 12:Stand Error of OR,Step 13:Standard Error of the Safety Effectiveness,Step 14: Sginificance,before_years,after_years,before_avgADT,after_avgADT,speed_osm,lanes_osm
Arterial-Class C (Truck Route Low speeds),82 AV [EB-S] NW,E,2.5,1,1,0,0,1,641.485,Mid2223,EBD,243.9713659,130.6929341,1,DFS066,82 Ave EO 99 St EB,EB,50,Ward 11,6610,Ritchie,53.51795,-113.48478,3-Oct-16,Yes,6,2.331515081,2.114811191,0,0.397817105,0.570230213,0.553625436,0.436531381,4.398591211,0.269636465,1.186020583,0,100,52,81.84659663,0.635334909,0.180194107,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,7,2,13164.36968,12383.81991,50,2
Arterial-Class C (Truck Route Low speeds),82 AV [WB-S] NW,W,2.5,1,1,0,0,0,369.036,Mid2239,WBD,446.2087752,391.7003563,1,DFS073,82 Ave @ 95 A St WB,WB,50,Ward 08,6491,Mill Creek Ravine North,53.518169,-113.475383,3-Oct-16,Yes,3,1.908761139,1.742712262,0,0.376459127,0.539615731,0.553625436,0.48620663,2.469432431,0.309641323,0.764638326,0,100,52,81.84659663,0.635334909,0.12164758,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,7,2,13993.05603,15230.95424,50,2
Arterial-Class D (Non-Truck Route Low speeds),CASTLE DOWNS RD [EB-S] NW,E,2,1,0,0,0,0,387.701,Mid4257,EBD,453.4186992,2337.701065,1,DFS074,EB Castledowns Rd W of 109St,EB,60,Ward 03,3280,Lorelei,53.62697,-113.5119,12-Oct-16,No,1,1.09581576,1.011086138,0,0.222709027,0.320532241,0.553625436,0.622404775,1.059636187,0.317017739,0.335923468,0,100,52,81.84659663,0.635334909,0.040211512,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,7,2,7697.750868,8587.875,40,2
Arterial-Class D (Non-Truck Route Low speeds),CASTLE DOWNS RD [WB-S] NW,W,2,1,0,0,0,1,768.033,Mid4280,WBD,443.6363341,2723.438954,1,DFS075,WB Castledowns Rd WO 100 St,WB,60,Ward 03,3030,Baturyn,53.62897,-113.49998,12-Oct-16,Yes,4,1.566087094,1.4468008,0,0.332004158,0.47726131,0.553625436,0.535611281,2.69636879,0.329873545,0.889460733,0,100,52,81.84659663,0.635334909,0.136256092,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,7,2,8093.604512,9415.5,40,2
Arterial-Class D (Non-Truck Route Low speeds),MEADOWLARK RD [NB-S] NW,N,2,1,0,0,0,1,799.93,Mid4404,NBD,161.8132321,40.59549233,1,DFS071,Meadowlark Rd NO 89 Ave NB,NB,50,Ward 01,4310,Meadowlark Park,53.52314,-113.59239,3-Oct-16,Yes,0,1.354066131,1.221637454,0,0.270421741,0.387621963,0.553625436,0.571544366,0.773908868,0.317297052,0.245559002,0,100,52,81.84659663,0.635334909,0.033383184,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,7,2,6638.761905,7414.314143,60,3
Arterial-Class D (Non-Truck Route Low speeds),RABBIT HILL RD [NB-S] NW,N,2,0,0,0,0,1,1326.3,Mid4415,NBD,622.1273932,1310.085091,1,DFS076,NB Rabbit Hill Rd N of Leger,NB,60,Ward 09,5620,Hodgson,53.45735,-113.56547,11-Oct-16,Yes,1,2.29280803,2.103629685,1,0.450243386,0.645377935,0.553625436,0.440653484,1.569680363,0.306792559,0.481566256,2.076557457,-107.6557457,52,81.84659663,0.635334909,0.082638382,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,7,2,9242.1125,9960.520105,40,1
Arterial-Class C (Truck Route Low speeds),107 AV NW,D,3,1,0,0,0,1,849.167,Mid1011,EBD,570.7167648,501.8344984,1,DFS141,107 Ave @ 120 St,EB,50,Ward 06,1180,Queen Mary Park,53.55089,-113.52938,26-Nov-17,Yes,12,2.201586316,2.158001251,1,0.233823816,0.311800333,0.554905701,0.450111286,7.589623418,0.144485705,1.096592093,0.911916114,8.808388607,52,81.84659663,0.635334909,0.087125403,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,8,1,10259.26031,11944.61876,50,4
Arterial-Class C (Truck Route Low speeds),112 AV NW,D,2,0,0,0,0,0,928.119,Mid1232,WBD,221.7264797,9.38201268,1,DFS084,112 ave eo 74 st,WB,50,Ward 07,1240,Virginia Park,53.56214,-113.45103,17-Nov-16,Yes,2,2.594848507,2.319574651,0,0.468109245,0.668195937,0.554905701,0.409853496,2.24380074,0.288068305,0.646367875,0,100,52,81.84659663,0.635334909,0.109884156,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,7,2,12204.73802,12308.65599,50,2
Arterial-Class C (Truck Route Low speeds),112 AV NW,D,2,0,0,0,0,0,316.251,Mid1233,EBD,740.2985375,401.3043528,1,DFS083,112 ave eo 80 st,EB,50,Ward 07,1070,Cromdale,53.56119,-113.46375,17-Nov-16,Yes,1,1.570191535,1.402196703,0.5,0.286088673,0.40837324,0.554905701,0.534385507,1.304702093,0.291238197,0.379979085,1.315861897,-31.58618966,52,81.84659663,0.635334909,0.05152696,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,7,2,12049.03571,12290.193,50,5
Arterial-Class C (Truck Route Low speeds),23 AV [WB-S] NW,W,1,0,0,0,0,0,1783,Mid1827,WBD,506.5935025,2263.089076,1,DFS088,23 Avenue wo 119 St,WB,60,Ward 10,5070,Blue Quill Estates,53.455904,-113.541686,17-Nov-16,Yes,3,4.047375969,3.67697632,1,0.781520296,1.11557012,0.554905701,0.308079825,3.322675405,0.303393338,1.008077583,0.991987141,0.801285864,52,81.84659663,0.635334909,0.21161965,28.71961804,0.632622706,36.73772942,0.009412176,0.097016369,9.701636943,3.786755744,7,2,14485.83814,15430.37773,60,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
